ID,1BBMax,3BLMax,5BSMax,7BTMax,1BBMin,3BLMin,5BSMin,7BTMin,1BBMean,3BLMean,5BSMean,7BTMean
1,14.945362335611415,14.699323736113579,15.883249072135865,12.766386445904761,7.156660147281009,8.35599982258663,8.658438409260512,7.257384890811594,7.744285941371535,10.689917723843639,12.169571421278484,10.180598634778303
2,8.653920556086169,12.40597184488521,9.172761960012004,,6.344673404575588,11.749034243392753,7.465575337079128,,8.276208105718194,10.58253734145155,10.02348705184655,
3,7.063800290131441,9.59398826536842,9.490918550868544,8.556896465097427,6.9002630902268685,7.68284880570968,8.085610629788446,8.82209655694478,6.231370727035113,6.8484051437855,9.576823512530522,8.547851684796106
4,9.735060314324228,,9.291419261100064,,6.414055752132998,,6.5981719321430585,,8.632354224759652,,9.469252048006028,
5,8.213029939710816,,6.207204997429986,,8.883805375623496,,9.254703729123431,,9.303383943319814,,8.449454823640346,
6,8.553400669307228,,8.47051892621584,,7.297542165848579,,6.66301865492837,,8.924360312754436,,8.45340271519719,
7,6.350299408577904,,,,9.288449126444561,,,,7.135967364071237,,,
8,16.537798271868983,16.063876741225826,9.485659923118092,,10.069456359454735,8.419620426504807,9.1116947987793,,11.796377788192379,11.888775685353362,13.23135187948384,
9,9.63354360486932,14.234880804222804,15.226551145336998,,8.726689228009583,9.98230527981886,11.621505599631597,,10.728690982790495,13.231912572579178,12.964930971327664,
10,9.384522838930978,11.862984048171771,14.628394694258366,,8.725810745783372,13.550315565559435,11.66879558088956,,10.11090171154725,10.282904615566805,12.623457096469952,
11,13.964430599120373,11.294149943216695,13.25630129935922,,11.454101058642042,10.125794659445834,11.300209504894385,,13.466209743124075,10.98046064047654,10.618916684934652,
12,7.412991547891113,5.261382448226453,7.981191413997741,9.01118638688603,4.825305551098086,4.6478790684533955,4.343059165863646,8.777088765933474,5.774784317984421,6.0237147762775916,4.93063598739945,8.913166278582029
13,9.457902463267164,5.606600885489703,8.588333981243647,7.481460326869135,6.138417455436834,8.047010068411137,9.31916388643509,5.652036618370538,5.800747285380337,5.160519044827378,9.358381616960866,6.669116957841203
14,5.842787628788834,9.12518285111113,,11.00536031470622,6.871686713683218,4.753855215481216,,9.858793399421312,6.801616210582388,8.713185720443139,,11.093972498891578
15,6.422425868546698,6.238885646346954,6.985819582858253,,4.926062998220925,6.883978787801885,6.43651135943832,,5.821660224671678,5.9428909810474355,8.132470302635221,
16,9.377461952287709,5.999074132637064,7.777792000451127,,6.019336509942285,4.747738840283922,6.171547886233497,,8.480023371230883,6.209241333094721,8.76153776040146,
17,10.232744716114404,8.05062617749223,8.596861514669179,,6.791851155011774,6.306416962248554,6.802930491775826,,8.741302536152382,7.79814008482636,6.547391262245435,
18,8.828074379908145,,,,7.263329767549156,,,,9.07111682614256,,,
19,9.75996340788935,10.143030104282772,11.435582462870084,,8.707226389307023,5.82404316614564,6.794052128121658,,11.900534205297992,9.381701000079797,8.837760174646236,
20,11.142266802432706,,,,10.495827682844093,,,,10.824321400513405,,,
21,8.353912144929053,9.407181723761063,7.326137412711371,8.696633687082919,9.817206611406355,5.820001265765882,6.856166926669649,6.942273070818147,7.967705012966157,8.984213267570409,7.777706078396984,8.347560212695162
22,7.564213060601293,,,,7.9668798227726505,,,,8.003582890209518,,,
23,,8.431224522845778,9.089847534060471,5.084783268019938,,6.983564050571681,6.861924067262448,6.639410618389288,,9.937792423696848,9.34294220110966,6.264992659160477
24,6.868044555242282,8.729704488281616,9.78894367936652,4.534099559547918,8.540372949398812,6.640688089518022,9.706299610049783,5.692235493780909,6.976732501063492,4.421976912517703,8.098823510313064,6.976912545144185
25,5.360653331354111,8.543294868767884,7.518914754629261,5.772893620770613,7.788589416861867,9.25850045599384,4.644358172531488,7.863264458281868,7.467980740508586,9.158687722649107,5.777476709208652,5.723898895424967
26,6.49757399119014,9.457560765118178,5.401609221444888,9.612344147905757,7.264267041633874,11.568894068061093,6.706732214069584,6.363590984379053,8.151314321308625,9.360021447593022,5.6245815703750965,6.378984623943263
27,6.841111337000214,,6.6427811476879555,,6.360373841786436,,5.825868452318816,,6.262465307243884,,4.071572588217272,
28,7.717937685156521,5.375323719162466,5.2001905048361925,,9.000735399704546,5.634308190379592,5.227532021078335,,7.189984018779297,6.266827297827106,5.025682149802644,
29,10.945999272063963,8.664757930864859,7.416528238661439,,8.279243056001505,4.163453714792026,6.080830133500842,,8.785740523031661,6.060582830846539,8.324594646152157,
30,7.358038602485564,6.750543671094732,7.468363494559827,,7.1998229733108055,7.636160535666361,7.015921370336381,,6.479301659608361,7.76060889986168,6.914092333677886,
31,9.555146870672749,9.690601234377585,9.356099075109022,9.683923073982603,7.264975534482784,6.318176701617513,6.678376006894259,10.791630985757768,8.863676767136763,7.975533092727558,9.305347736597314,12.054852040249623
32,7.469888487604269,,,4.884995454702002,6.549557666949609,,,6.267505083494345,6.458119742865648,,,6.148368707280761
33,6.499257303061789,7.141608564521577,6.655530596957226,,7.117620762578676,7.804966933187796,9.06635311540868,,8.12073047765362,6.868002572807645,6.882412722742882,
34,7.9868767304563555,10.05544906825856,9.456183233528261,,6.284897396451156,8.383580335484323,8.75294269079057,,6.362332931937976,9.562251466630691,8.358520827495617,
35,6.3686010536918385,8.30673407191868,10.10626530069149,5.179949592760682,5.760038540544085,5.051255503783757,5.866974648306144,4.686972004811365,6.306897603415423,4.87674945736053,7.452234647121361,6.311040362036641
36,7.414017257516589,,8.572633901764066,,5.499209492415738,,7.1553475104273545,,7.340185405104021,,7.582439582895007,
37,6.789462571300265,7.040327803332621,6.137588482360129,8.301521240426183,5.885091114802275,4.014914493949011,4.752860314790705,5.668980098269443,7.594463924539895,7.157803456414465,4.886312917952117,7.066956425899495
38,8.253444683440398,8.927606847886596,8.914298378691825,9.60138598833478,7.64323787136088,7.324864231644997,7.097787755714469,7.303333469116389,7.217495308259597,7.066238493149877,7.671173013983896,8.461258282657155
